sophTimes,seniorTimes
11:15.23,10:34.56
10:57.08,10:34.56
10:25.99,10:34.60
12:16.53,10:34.60
11:13.54,10:34.69
11:16.50,10:34.70
11:12.41,10:34.70
10:44.43,10:34.76
11:14.12,10:34.80
12:04.22,10:34.80
11:14.43,10:34.84
10:14.04,10:34.88
10:26.81,10:34.93
10:44.64,10:34.96
11:06.42,10:34.97
11:02.72,10:35.02
10:48.25,10:35.03
12:05.65,10:35.09
10:11.08,10:35.12
10:20.16,10:35.13
11:08.63,10:35.14
11:24.1,10:35.15
12:58.39,10:35.20
10:59.14,10:35.23
10:54.93,10:35.39
11:19.86,10:35.41
10:25.70,10:35.42
10:33.78,10:35.43
10:11.92,10:35.0
10:49.82,10:35.47
10:51.93,10:35.48
11:01.0,10:35.52
11:17.39,10:35.56
10:41.70,10:35.61
11:24.79,10:35.62
11:28.62,10:35.63
11:05.71,10:35.66
11:00.12,10:35.66
11:38.10,10:35.67
11:11.52,10:35.67
11:05.58,10:35.68
11:07.79,10:35.68
11:23.2,10:35.70
10:42.24,10:35.71
11:20.40,10:35.73
11:06.57,10:35.74
11:40.36,10:35.78
10:32.15,10:35.86
10:55.44,10:35.88
10:52.85,10:35.89
10:52.82,10:35.94
10:57.77,10:35.97
10:37.82,10:35.98
11:21.81,10:35.98
10:52.15,10:36.03
11:14.02,10:36.04
11:04.38,10:36.06
11:50.3,10:36.12
10:51.55,10:36.17
12:28.08,10:36.18
10:49.5,10:36.19
10:59.34,10:36.22
10:51.99,10:22.0
11:39.77,10:36.29
11:07.29,10:36.31
11:02.52,10:36.38
11:03.19,10:36.40
10:38.37,10:36.40
10:27.96,10:36.41
11:01.80,10:36.42
11:05.68,10:36.43
10:46.90,10:36.44
10:39.03,10:36.45
10:47.90,10:36.53
10:44.31,10:36.53
11:23.09,10:36.57
11:10.19,10:36.57
11:06.78,10:36.59
11:08.29,10:36.61
10:09.11,10:36.61
10:55.71,10:36.62
10:41.05,10:36.65
10:23.72,10:36.66
10:45.50,10:36.74
10:58.25,10:36.76
10:57.91,10:36.76
10:47.14,10:33.08
11:16.74,10:36.80
11:26.92,10:36.82
11:14.2,10:36.82
10:02.25,10:36.88
10:42.03,10:36.89
10:36.85,10:36.92
10:02.70,10:36.93
10:54.05,10:36.93
10:52.85,10:36.97
11:13.71,10:37.10
11:18.88,10:31.8
10:38.91,10:37.12
11:17.59,10:37.15
10:41.20,10:37.22
11:31.96,10:37.27
10:36.35,10:37.29
12:10.27,10:37.30
11:06.17,10:37.32
11:04.55,10:37.35
10:58.23,10:37.40
10:31.54,10:37.45
11:00.42,10:37.45
10:45.13,10:37.46
10:27.06,10:35.07
11:18.05,10:37.53
11:28.34,10:37.55
11:30.32,10:37.64
11:03.90,10:37.66
10:05.42,10:37.68
11:22.98,10:37.69
10:47.11,10:37.76
11:40.21,10:37.76
11:18.14,10:37.86
10:55.26,10:37.88
10:38.75,10:37.89
9:58.41,10:37.92
11:05.72,10:37.93
11:26.27,10:29.44
10:33.67,10:37.98
11:46.09,10:37.98
10:11.61,10:38.03
10:06.4,10:38.07
10:17.96,10:38.10
10:38.99,10:38.15
10:58.95,10:38.15
10:02.77,10:38.16
11:50.26,10:38.19
10:37.92,10:38.21
10:46.94,10:38.24
10:48.87,10:38.25
10:43.25,10:38.27
10:23.32,10:38.28
10:59.27,10:38.28
10:32.85,10:38.30
11:00.03,10:38.33
10:43.60,10:38.36
11:40.33,10:38.42
11:08.12,10:38.42
12:12.67,10:38.46
10:41.16,10:38.46
10:48.43,10:38.49
10:18.29,10:38.49
11:21.53,10:38.51
10:08.46,10:38.52
10:31.25,10:38.54
11:38.95,10:38.54
10:31.56,10:38.55
10:44.76,10:38.56
10:47.28,10:38.57
12:03.82,10:38.57
10:42.03,10:38.63
10:47.02,10:38.68
10:58.87,10:38.71
10:35.29,10:38.75
10:47.17,10:38.75
10:51.65,10:38.78
10:39.10,10:38.78
11:12.21,10:38.79
10:27.94,10:38.83
13:22.3,10:38.85
12:08.94,10:38.85
11:03.27,10:38.89
11:13.09,10:38.89
11:46.47,10:38.96
11:05.4,10:38.98
11:11.2,10:38.99
11:02.62,10:39.03
12:56.0,10:39.04
10:55.75,10:39.08
11:18.33,10:39.10
10:23.46,10:39.12
11:41.68,10:39.19
11:18.24,10:39.20
10:48.40,10:39.24
10:55.55,10:39.24
11:13.22,10:39.39
11:10.42,10:39.39
9:55.72,10:39.43
10:35.07,10:39.44
10:53.18,10:39.44
10:35.11,10:39.57
10:35.68,10:39.57
11:00.26,10:39.60
11:25.93,10:39.65
10:40.65,10:39.66
10:42.66,10:39.72
11:40.25,10:39.76
11:27.00,10:39.78
11:03.28,10:39.80
12:01.08,10:39.81
11:25.10,10:39.87
10:45.33,10:39.92
10:37.46,10:39.95
11:07.52,10:40.00
10:44.84,10:32.92
9:56.88,10:40.05
10:48.18,10:40.06
11:42.68,10:40.11
11:07.69,10:40.13
10:45.09,10:40.13
11:01.07,10:40.16
12:13.36,10:40.24
11:43.74,10:40.25
10:29.86,10:40.25
11:06.65,10:40.27
11:57.44,10:40.27
10:57.66,10:40.28
10:17.46,10:40.31
10:49.61,10:40.32
10:13.11,10:40.32
9:54.22,10:40.42
11:16.14,10:40.62
10:39.92,10:40.63
11:53.8,10:40.64
10:54.68,10:40.65
10:35.24,10:40.71
10:48.00,10:40.78
10:59.41,10:40.83
10:49.14,10:40.84
12:00.51,10:40.87
11:14.80,10:40.91
10:16.90,10:40.91
10:39.11,10:40.91
10:39.64,10:40.92
11:19.23,10:40.95
11:05.95,10:41.10
10:39.32,10:41.10
11:22.95,10:41.13
11:01.2,10:41.19
10:56.31,10:41.23
10:16.46,10:41.25
11:13.98,10:41.31
11:21.79,10:41.32
10:59.59,10:41.34
10:37.51,10:41.36
10:45.90,10:41.41
10:40.00,10:37.8
10:35.9,10:41.47
11:09.63,10:41.50
10:30.51,10:41.51
9:47.46,10:41.52
10:52.68,10:41.56
11:31.95,10:41.60
11:59.94,10:41.60
10:19.61,10:41.61
11:59.1,10:41.62
10:11.24,10:41.68
10:58.69,10:41.68
11:16.06,10:41.78
10:56.92,10:41.78
10:55.04,10:35.2
10:38.06,10:41.82
10:28.05,10:41.83
10:52.20,10:41.91
10:48.88,10:41.94
11:47.74,10:41.97
10:51.88,10:42.03
11:47.2,10:42.03
10:33.94,10:42.08
11:33.27,10:42.09
10:46.92,10:42.11
10:34.51,10:42.21
10:47.12,10:42.23
11:25.10,10:42.24
12:09.1,10:42.25
11:10.77,10:42.25
10:41.34,10:42.31
11:07.73,10:42.32
10:16.04,10:42.32
10:45.68,10:42.33
10:20.86,10:42.46
10:44.27,10:42.48
10:43.92,10:42.50
11:09.53,10:42.50
11:53.08,10:42.53
10:50.70,10:42.58
11:11.40,10:42.62
11:36.37,10:42.65
13:15.32,10:42.69
11:12.73,10:42.69
11:15.7,10:29.6
11:04.8,10:42.74
11:04.19,10:42.77
10:54.39,10:42.77
10:05.38,10:42.81
11:59.07,10:42.82
10:29.36,10:42.82
10:55.02,10:42.88
11:19.05,10:42.89
11:41.27,10:42.89
11:08.0,10:42.92
11:04.47,10:43.01
11:58.84,10:31.7
10:55.92,10:43.06
11:12.81,10:43.07
10:10.3,10:43.07
10:32.33,10:43.12
10:39.84,10:43.15
10:23.51,10:43.16
11:49.75,10:35.8
10:59.66,10:43.22
11:10.8,10:43.33
10:53.99,10:43.39
10:33.15,10:43.39
10:41.50,10:43.40
11:41.42,10:19.1
10:35.50,10:43.50
12:03.23,10:43.51
10:45.85,10:43.56
11:56.28,10:43.58
10:55.10,10:43.65
10:50.06,10:43.66
10:40.98,10:43.66
11:00.55,10:43.67
10:45.82,10:43.67
10:46.25,10:43.68
11:19.53,10:43.69
10:20.21,10:43.70
11:06.45,10:43.70
10:10.79,10:43.73
11:48.58,10:43.73
10:31.08,10:43.78
11:06.95,10:43.82
11:26.81,10:43.97
11:20.42,10:44.00
14:16.0,10:44.01
11:34.97,10:44.07
10:23.65,10:41.64
14:28.61,10:44.07
11:45.27,10:44.09
11:50.67,10:44.10
11:06.63,10:44.12
10:50.14,10:44.12
10:28.50,10:44.16
11:17.93,10:44.16
10:54.54,10:44.18
11:18.76,10:44.30
10:53.75,10:44.32
11:05.57,10:44.33
11:22.86,10:44.37
10:44.83,10:44.47
10:25.42,10:44.48
11:00.50,10:44.54
10:44.10,10:44.60
12:39.46,10:44.62
10:45.72,10:29.8
11:34.2,10:44.67
11:01.19,10:44.73
9:48.69,10:44.75
10:45.03,10:44.82
11:17.58,10:44.85
9:59.67,10:44.85
10:55.08,10:44.87
12:28.54,10:44.90
10:29.34,10:44.93
10:56.9,10:44.94
11:05.07,10:45.10
11:13.03,10:20.0
10:44.73,10:45.15
10:35.39,10:45.16
11:11.95,10:45.19
10:50.75,10:45.26
11:25.42,10:45.34
11:04.99,10:45.36
11:29.23,10:45.38
10:38.67,10:45.39
11:21.53,10:45.41
11:36.28,10:45.43
11:19.00,10:45.45
10:36.77,10:45.45
11:18.94,10:45.47
10:48.90,10:45.47
12:16.5,10:45.51
12:16.99,10:45.52
10:52.67,10:45.55
10:21.39,10:45.57
10:23.51,10:45.61
10:52.97,10:45.63
11:22.04,10:45.63
10:59.50,10:45.66
10:29.00,10:16.3
11:06.40,10:45.73
10:44.13,10:45.76
11:01.68,10:45.82
10:46.54,10:45.83
10:57.88,10:45.89
11:58.32,10:45.94
10:46.57,10:45.94
10:27.58,10:45.96
10:46.53,10:45.97
10:25.36,10:46.02
10:38.66,10:46.10
11:03.75,10:46.12
10:18.4,10:46.13
10:09.48,10:46.26
11:54.34,10:46.28
12:13.03,10:46.30
11:29.67,10:46.33
10:57.70,10:46.42
11:39.38,10:46.42
10:43.51,10:46.47
10:42.31,10:46.48
10:44.73,10:46.54
11:15.2,10:46.55
11:12.93,10:46.55
11:40.84,10:46.60
12:00.02,10:46.60
10:52.15,10:46.61
10:44.25,10:46.68
10:18.90,10:31.3
11:09.10,10:46.69
11:16.65,10:46.69
10:33.42,10:46.76
11:52.5,10:46.76
10:52.34,10:46.79
11:22.07,10:46.80
10:40.06,10:46.82
11:24.19,10:46.85
11:02.73,10:46.87
11:09.88,10:46.4
11:30.58,10:46.89
12:32.43,10:42.3
10:28.56,10:46.94
10:04.96,10:47.00
10:53.46,10:47.00
10:50.59,10:47.00
11:41.72,10:47.01
10:34.07,10:47.05
10:57.56,10:47.06
11:22.7,10:47.09
11:02.92,10:47.14
11:07.88,10:47.17
11:33.54,10:47.19
10:27.65,10:47.22
12:29.6,10:47.22
11:06.7,10:47.24
11:35.50,10:47.28
11:30.00,10:47.32
10:42.07,10:47.37
11:05.74,10:47.37
10:39.50,10:47.37
10:36.19,10:47.40
10:53.11,10:47.40
10:57.35,10:47.51
11:02.10,10:47.52
12:50.30,10:47.55
10:18.42,10:47.66
10:51.92,10:47.78
11:22.70,10:47.78
11:44.22,10:47.81
11:47.50,10:47.83
11:40.0,10:47.89
11:34.77,10:47.90
11:10.89,10:47.93
11:37.40,10:47.97
10:26.78,10:47.98
11:57.14,10:48.00
10:27.40,10:48.13
10:36.65,10:35.80
10:17.71,10:48.19
11:46.23,10:48.21
10:58.20,10:46.06
10:54.05,10:48.25
10:57.86,10:48.27
11:22.93,10:48.29
10:51.17,10:48.35
13:05.30,10:48.36
10:23.09,10:48.37
10:52.36,10:48.37
12:16.57,10:48.45
11:35.27,10:48.49
9:45.46,10:48.51
11:09.59,10:48.53
11:03.23,10:48.58
10:46.10,10:48.60
11:03.13,10:48.85
11:26.22,10:48.85
10:49.57,10:48.86
20:00.0,10:48.87
10:19.81,10:48.89
11:26.60,10:48.97
11:36.03,10:48.99
10:48.53,10:49.00
10:38.58,10:49.05
10:10.19,10:49.05
10:51.55,10:27.02
10:17.88,10:49.09
11:14.50,10:49.10
10:44.78,10:49.10
10:45.00,10:49.15
10:20.87,10:49.22
11:01.09,10:49.25
11:21.82,10:49.27
11:45.79,10:49.31
11:34.03,10:49.35
10:33.34,10:49.35
10:57.54,10:49.36
10:54.08,10:49.37
11:06.78,10:49.47
10:31.57,10:49.49
11:34.00,10:49.50
10:37.62,10:49.51
10:49.37,10:49.51
12:05.32,10:49.53
10:55.41,10:49.54
10:46.35,10:49.55
11:24.14,10:49.58
12:10.23,10:49.61
10:51.86,10:49.61
11:14.70,10:49.62
10:45.75,10:49.64
11:02.0,10:49.67
11:16.86,10:49.69
10:45.5,10:45.31
11:11.48,10:49.75
10:29.41,10:49.80
12:11.0,10:49.82
10:54.72,10:49.91
11:27.99,10:49.99
11:17.67,10:46.7
10:58.94,10:50.02
11:10.78,10:50.02
11:29.3,10:50.02
11:19.50,10:50.04
11:01.50,10:50.04
10:55.27,10:50.05
10:57.20,10:50.07
10:27.08,10:45.0
10:51.44,10:50.15
10:51.08,10:50.16
10:37.0,10:50.17
10:56.88,10:50.18
11:38.12,10:50.24
11:11.69,10:50.25
11:29.51,10:50.27
11:21.55,10:50.32
12:02.34,10:23.0
11:25.97,10:50.38
10:35.37,10:50.39
11:11.0,10:50.46
11:26.62,10:50.47
11:07.72,10:50.50
14:17.33,10:50.53
11:10.99,10:50.57
11:09.3,10:50.59
10:56.24,10:50.62
11:20.56,10:50.62
11:56.25,10:50.68
11:07.10,10:50.69
11:18.45,10:50.73
11:51.12,10:40.95
11:27.66,10:50.78
10:39.38,10:50.83
11:02.55,10:50.83
11:27.06,10:50.83
10:33.9,10:50.83
10:36.36,10:50.86
10:44.96,10:50.87
10:59.20,10:50.88
10:46.64,10:50.90
12:23.2,10:50.92
11:39.10,10:50.94
11:38.29,10:50.96
11:04.37,10:50.97
11:06.50,10:50.98
10:38.03,10:50.98
12:07.64,10:51.01
11:02.88,10:51.03
9:35.57,10:51.08
11:09.06,10:51.11
10:57.55,10:51.13
12:55.25,10:51.15
11:23.15,10:51.15
10:37.32,10:51.18
10:35.62,10:51.21
11:54.13,10:51.23
11:12.24,10:51.24
10:42.61,10:51.27
10:47.08,10:51.27
11:41.79,10:51.31
10:30.15,10:51.33
11:23.69,10:51.35
13:12.00,10:51.37
11:51.74,10:51.39
11:25.05,10:51.42
10:47.18,10:51.43
11:15.50,10:51.46
11:36.15,10:51.48
13:02.74,10:51.49
11:51.98,10:51.61
10:09.69,10:51.61
12:04.96,10:51.70
11:09.90,10:51.71
10:36.11,10:51.77
12:09.54,10:51.78
10:50.64,10:38.2
11:18.65,10:51.84
10:56.60,10:51.85
12:04.68,10:51.86
11:17.12,10:47.0
11:26.50,10:51.90
10:14.88,10:51.92
11:02.25,10:50.0
10:57.15,10:32.3
10:54.01,10:52.00
11:18.56,10:52.01
10:59.47,10:52.01
11:30.45,10:52.03
10:56.08,10:52.08
11:10.33,10:52.10
11:27.34,10:52.11
10:35.58,10:52.19
11:20.49,10:52.20
11:12.22,10:52.22
10:45.70,10:52.25
11:09.74,10:50.7
11:23.54,10:52.26
10:42.36,10:52.29
10:59.0,10:52.29
10:45.8,10:52.29
11:29.32,10:52.29
10:25.42,10:52.35
11:03.04,10:52.36
10:35.09,10:52.37
10:48.44,10:52.44
11:04.6,10:52.45
11:14.04,10:52.47
11:09.98,10:52.48
11:32.09,10:52.49
11:05.58,10:52.51
11:02.86,10:52.53
11:07.78,10:52.55
10:40.96,10:52.59
11:34.9,10:52.61
11:08.65,10:52.64
11:17.18,10:52.64
10:33.93,10:52.64
11:05.30,10:52.66
11:43.47,10:52.66
11:17.81,10:52.67
12:29.09,10:52.73
11:00.56,10:52.74
11:23.03,10:52.78
9:51.32,10:52.79
10:58.33,10:52.90
12:03.03,10:52.94
11:00.36,10:53.00
10:42.47,10:53.02
10:24.40,10:53.04
10:57.48,10:53.08
11:55.94,10:53.17
10:58.42,10:53.18
11:05.51,10:53.18
11:40.00,10:53.18
11:46.26,10:53.20
10:46.35,10:53.20
11:18.03,10:53.22
11:44.13,10:53.23
11:14.68,10:53.24
10:48.45,10:53.24
12:09.99,10:53.32
11:20.90,10:53.33
11:06.71,10:53.35
13:15.09,10:53.37
10:47.46,10:53.37
11:57.57,10:53.44
10:56.76,10:53.44
10:59.94,10:53.47
11:46.88,10:53.49
11:00.81,10:53.50
11:41.0,10:53.51
10:32.09,10:53.53
10:55.49,10:53.61
10:58.88,10:53.66
10:49.10,10:53.67
10:26.72,10:53.68
10:31.09,10:53.71
10:14.58,10:53.80
10:36.57,10:53.80
10:45.91,10:53.84
10:28.63,10:48.8
10:35.06,10:53.91
11:03.09,10:53.92
11:00.88,10:53.97
11:09.55,10:54.01
12:27.63,10:54.02
11:45.62,10:54.03
11:19.88,10:54.07
11:01.56,10:54.07
10:58.33,10:54.08
11:06.55,10:54.15
11:55.28,10:54.16
10:55.49,10:54.18
11:32.00,10:54.22
10:55.67,10:54.28
11:59.81,10:54.32
10:35.40,10:54.34
12:15.14,10:54.35
11:06.32,10:38.1
11:59.63,10:54.35
10:41.3,10:54.38
11:51.16,10:54.44
11:42.31,10:44.7
10:47.82,10:54.49
10:30.53,10:54.54
10:31.74,10:54.58
12:01.20,10:54.60
10:46.64,10:54.65
12:04.79,10:54.67
10:52.81,10:54.67
11:23.60,10:54.68
11:45.60,10:54.69
10:45.96,10:54.70
11:55.21,10:54.73
11:08.65,10:54.74
11:00.17,10:54.74
10:50.37,10:54.79
11:28.40,10:54.80
11:31.36,10:31.3
10:52.95,10:54.88
11:57.33,10:54.94
20:00.0,10:54.95
11:19.7,10:54.98
10:42.54,10:55.03
12:56.8,10:55.06
10:55.32,10:55.07
11:26.34,10:55.10
11:10.64,10:55.14
10:44.68,10:55.15
10:39.79,10:55.18
12:06.4,10:55.26
11:15.76,10:55.28
11:38.07,10:55.29
10:45.5,10:55.34
12:12.81,10:55.35
11:30.98,10:55.36
11:44.1,10:55.38
12:15.40,10:55.41
11:16.51,10:55.42
12:06.82,10:45.5
11:36.52,10:55.56
10:39.82,10:55.61
10:39.05,10:55.62
10:56.11,10:55.73
10:58.81,10:55.76
10:39.95,10:55.82
10:55.53,10:55.86
11:19.53,10:55.86
10:37.86,10:55.87
11:20.32,10:55.91
10:25.85,10:55.91
11:43.06,10:56.02
10:57.17,10:39.0
10:42.50,10:56.03
10:58.98,10:56.04
11:15.91,10:56.05
11:09.76,10:56.08
13:15.12,10:56.09
10:05.86,10:56.15
10:43.92,10:56.25
11:17.36,10:56.26
10:52.41,10:56.26
11:50.67,10:56.28
11:39.39,10:56.30
11:45.97,10:56.30
10:31.78,10:56.32
11:43.60,10:56.36
12:30.54,10:56.37
11:29.41,10:56.39
10:44.91,10:56.39
12:16.0,10:56.41
11:06.49,10:56.58
11:41.75,10:56.62
11:09.24,10:56.66
11:24.85,10:56.67
9:47.44,10:56.69
11:01.61,10:39.5
10:46.72,10:56.71
10:32.84,10:56.73
10:21.67,10:56.74
11:34.65,10:56.74
11:18.64,10:56.78
12:07.97,10:56.78
11:28.48,10:56.83
11:11.68,10:56.89
