sophTimes,seniorTimes
9:55.43,9:36.60
10:44.51,9:36.62
9:40.50,9:36.66
9:57.40,9:36.70
9:42.63,9:36.71
10:05.35,9:36.87
9:50.96,9:36.88
10:41.54,9:36.88
9:47.03,9:36.88
10:11.30,9:36.89
9:57.64,9:36.91
10:27.61,9:37.04
10:02.89,9:37.17
9:21.46,9:37.22
9:51.92,9:37.32
9:48.65,9:37.33
10:03.79,9:37.35
9:49.07,9:37.39
10:29.54,9:37.41
10:11.92,9:37.49
10:22.97,9:37.51
10:05.72,9:37.56
10:35.37,9:37.64
9:54.34,9:37.68
9:59.79,9:37.70
9:34.42,9:37.71
9:53.8,9:37.88
9:23.63,9:37.95
10:10.31,9:37.96
10:45.57,9:37.97
10:03.50,9:37.99
10:05.89,9:38.05
9:37.90,9:38.13
10:12.40,9:38.28
10:13.66,9:38.29
9:46.25,9:38.32
9:44.89,9:38.32
10:20.77,9:38.36
10:22.25,9:38.37
10:32.56,9:38.40
10:31.93,9:38.46
10:00.72,9:38.47
9:54.98,9:38.50
9:56.93,9:38.53
9:43.80,9:38.55
9:52.00,9:38.55
10:11.31,9:38.57
10:04.46,9:38.61
10:12.78,9:38.63
10:08.15,9:38.63
10:08.91,9:38.65
9:59.23,9:38.74
10:09.11,9:38.75
10:37.66,9:38.76
9:51.86,9:38.76
10:12.25,9:38.79
10:01.76,9:38.80
9:38.66,9:38.92
10:53.29,9:38.92
10:03.21,9:38.94
10:05.22,9:38.95
10:02.19,9:38.98
10:25.19,9:39.03
10:11.46,9:35.93
9:48.46,9:39.12
10:24.70,9:39.14
10:22.09,9:39.29
10:37.63,9:39.31
9:57.86,9:39.35
10:04.37,9:39.38
9:57.53,9:39.48
9:50.77,9:39.48
9:49.55,9:39.53
10:02.55,9:39.54
10:19.49,9:39.56
10:34.97,9:39.56
10:13.42,9:39.59
9:38.35,9:39.59
10:39.39,9:39.60
10:26.51,9:39.64
9:24.98,9:39.68
10:32.78,9:39.78
10:34.60,9:39.97
9:35.95,9:40.02
10:06.07,9:40.05
10:19.9,9:40.22
10:16.70,9:40.24
9:43.00,9:40.27
9:55.52,9:40.28
10:31.99,9:40.32
10:01.37,9:40.46
10:17.66,9:40.47
10:05.99,9:40.55
10:10.09,9:40.56
10:18.16,9:40.58
9:38.86,9:40.62
10:50.36,9:40.65
9:36.35,9:40.65
10:28.06,9:40.69
9:42.82,9:40.76
9:23.62,9:40.79
10:30.39,9:40.80
10:16.48,9:40.82
10:38.76,9:41.00
10:25.18,9:41.00
10:43.54,9:41.02
11:14.00,9:41.14
10:06.91,9:41.23
10:16.17,9:41.34
11:17.92,9:41.34
10:10.45,9:41.35
9:56.35,9:41.37
9:49.28,9:41.37
9:53.79,9:41.45
10:43.53,9:41.49
9:57.55,9:41.49
10:06.04,9:41.51
9:51.98,9:41.53
10:04.78,9:41.54
10:22.16,9:41.56
10:10.47,9:41.60
10:28.53,9:41.62
9:56.65,9:41.67
10:34.17,9:41.75
9:45.33,9:41.77
10:09.73,9:41.79
10:50.51,9:41.92
10:12.57,9:41.93
10:42.27,9:41.96
9:50.29,9:41.99
10:15.15,9:41.99
10:26.46,9:42.01
9:56.45,9:42.04
10:08.61,9:42.04
10:00.32,9:42.12
10:13.64,9:42.15
10:41.8,9:42.16
9:56.35,9:42.22
10:12.62,9:42.23
9:31.64,9:42.29
9:52.21,9:42.30
9:42.06,9:42.38
9:50.83,9:42.45
10:18.10,9:42.46
10:00.64,9:42.47
10:14.41,9:42.47
10:29.23,9:42.53
10:36.60,9:42.69
10:04.33,9:42.71
10:15.26,9:42.72
10:42.90,9:42.73
10:03.47,9:42.75
9:41.37,9:42.76
10:17.31,9:42.79
10:54.89,9:42.82
10:52.56,9:42.88
10:36.00,9:42.88
9:54.25,9:42.90
10:03.96,9:42.91
10:23.85,9:42.97
10:13.43,9:42.99
10:32.0,9:43.04
9:59.66,9:43.06
9:56.74,9:43.12
10:35.50,9:43.14
10:14.04,9:43.15
9:55.16,9:43.19
9:54.76,9:43.20
10:04.50,9:43.21
10:12.68,9:35.7
10:30.43,9:43.23
10:30.10,9:43.27
10:47.88,9:43.29
10:39.57,9:43.31
10:18.98,9:43.32
9:46.00,9:43.33
10:04.60,9:43.34
10:25.32,9:43.36
10:15.24,9:43.40
10:30.12,9:43.42
9:58.50,9:43.47
11:34.34,9:43.48
9:56.26,9:43.48
10:22.94,9:43.54
9:56.14,9:43.54
12:04.39,9:43.63
10:14.75,9:43.70
10:15.16,9:43.71
10:55.65,9:43.73
10:39.00,9:43.77
11:01.72,9:43.78
10:04.48,9:43.81
10:47.51,9:43.89
11:14.13,9:43.90
10:30.49,9:43.93
10:52.98,9:43.98
10:17.77,9:43.98
10:09.79,9:44.00
9:57.53,9:44.06
10:01.98,9:44.07
9:50.62,9:44.08
9:47.57,9:44.10
9:43.08,9:44.14
9:47.28,9:44.15
10:00.88,9:44.17
10:04.84,9:44.18
10:13.83,9:44.24
9:58.99,9:44.27
10:26.5,9:44.30
9:45.90,9:44.30
10:40.78,9:35.1
10:28.64,9:44.39
10:08.76,9:44.43
10:29.82,9:44.46
10:19.97,9:44.47
10:18.92,9:44.49
9:56.18,9:44.51
10:30.07,9:44.52
10:10.17,9:44.57
10:41.31,9:44.58
9:56.90,9:44.59
10:29.94,9:44.68
10:10.61,9:44.68
10:31.89,9:44.89
9:40.49,9:44.89
10:07.83,9:44.90
9:53.54,9:44.90
10:08.42,9:44.91
9:53.95,9:45.03
10:48.90,9:45.05
10:21.34,9:45.08
10:27.61,9:45.08
9:59.03,9:45.09
10:48.34,9:45.11
9:48.81,9:45.13
10:08.08,9:45.16
10:42.71,9:45.16
11:50.0,9:45.18
10:34.63,9:45.22
10:13.12,9:45.23
10:12.82,9:45.24
10:40.84,9:45.29
10:39.41,9:45.32
10:24.01,9:45.32
9:42.23,9:45.33
10:20.91,9:45.33
10:42.47,9:45.34
10:44.99,9:45.39
10:08.92,9:45.41
10:28.38,9:45.43
9:50.80,9:45.44
10:18.10,9:45.45
10:35.33,9:45.46
10:02.87,9:45.50
9:53.04,9:45.52
10:04.26,9:45.57
10:46.15,9:45.62
10:04.05,9:45.65
10:21.90,9:45.67
9:45.08,9:45.72
9:57.30,9:45.76
9:58.41,9:45.79
10:11.89,9:45.80
9:52.30,9:45.83
10:20.69,9:45.86
10:33.85,9:45.91
10:17.15,9:45.93
9:52.39,9:45.94
10:42.62,9:46.04
9:47.02,9:46.13
10:04.51,9:46.15
10:13.88,9:46.15
10:35.20,9:46.21
10:04.49,9:46.28
10:57.01,9:46.31
10:18.21,9:46.33
10:57.97,9:46.44
10:06.14,9:46.48
10:51.46,9:46.55
9:59.13,9:46.59
9:55.62,9:46.63
9:30.11,9:46.63
10:31.67,9:46.63
11:20.6,9:46.66
10:15.65,9:46.69
10:30.66,9:46.71
10:02.74,9:46.71
11:04.85,9:46.72
9:44.67,9:46.74
9:55.45,9:46.77
10:10.32,9:46.80
10:11.90,9:46.87
10:18.05,9:46.93
9:57.11,9:47.04
9:55.93,9:47.13
10:35.51,9:47.19
10:42.24,9:47.27
9:39.65,9:47.28
10:27.1,9:47.30
10:29.80,9:47.34
10:00.72,9:47.35
9:46.55,9:47.37
10:24.95,9:47.39
10:08.32,9:47.42
10:58.97,9:47.46
10:31.53,9:47.48
10:03.19,9:47.52
9:50.58,9:47.57
10:32.39,9:47.60
10:12.47,9:47.62
10:02.36,9:47.65
10:06.48,9:47.65
10:27.43,9:47.69
9:46.96,9:47.73
10:16.20,9:47.74
9:49.34,9:47.78
10:23.25,9:47.82
10:07.76,9:47.83
10:27.82,9:47.83
10:06.83,9:47.84
10:40.12,9:47.92
10:29.38,9:47.98
10:08.24,9:47.99
11:09.70,9:48.03
10:05.24,9:48.07
11:10.02,9:48.18
10:10.03,9:48.19
10:26.76,9:48.28
10:11.25,9:48.28
9:43.63,9:48.28
9:37.06,9:48.29
10:15.23,9:48.35
9:36.99,9:48.36
9:47.46,9:48.39
10:12.60,9:48.40
10:32.51,9:48.43
10:08.17,9:48.45
10:24.57,9:48.49
10:56.21,9:48.52
10:56.16,9:48.55
10:27.51,9:48.56
10:20.09,9:48.60
10:28.90,9:48.61
10:08.19,9:48.75
11:01.69,9:51.03
10:27.11,9:51.04
10:22.30,9:51.08
10:20.11,9:51.13
11:19.16,9:51.16
10:27.44,9:51.18
10:27.66,9:51.27
9:54.52,9:51.30
10:27.06,9:51.31
10:02.52,9:51.31
11:22.36,9:51.32
10:25.58,9:51.36
10:48.32,9:51.41
10:35.43,9:51.44
10:55.40,9:51.45
11:47.30,9:51.46
10:25.78,9:51.48
11:02.28,9:51.52
10:32.11,9:51.62
9:44.22,9:51.71
10:15.20,9:51.74
9:56.36,9:51.78
9:35.06,9:51.80
10:11.38,9:51.83
11:21.84,9:51.1
9:55.5,9:51.86
10:26.5,9:51.89
10:11.83,9:51.91
10:52.23,9:51.94
10:11.90,9:51.94
10:14.83,9:51.94
10:02.11,9:51.96
9:41.45,9:51.96
10:43.71,9:52.02
10:38.68,9:52.04
10:16.48,9:52.05
10:31.91,9:52.08
10:41.83,9:52.10
9:58.33,9:52.10
10:18.23,9:52.11
10:22.91,9:52.12
9:52.57,9:52.13
10:44.40,9:52.13
10:58.81,9:52.14
10:43.44,9:52.19
10:31.33,9:52.20
9:48.75,9:52.21
10:32.22,9:52.22
10:54.6,9:52.25
10:11.39,9:52.27
10:29.96,9:52.28
9:52.35,9:52.32
10:37.07,9:52.36
10:03.01,9:52.40
10:29.70,9:52.48
10:53.94,9:52.54
9:55.29,9:52.56
9:56.73,9:52.64
10:28.36,9:52.64
10:15.99,9:52.66
10:54.49,9:52.69
10:10.56,9:52.70
10:52.94,9:52.72
10:48.40,9:46.9
11:13.85,9:52.74
10:46.91,9:52.77
9:54.23,9:52.79
10:49.73,9:52.81
10:20.50,9:52.82
9:58.18,9:52.82
10:25.29,9:52.82
10:16.25,9:52.84
10:36.05,9:52.85
9:57.35,9:52.85
10:23.84,9:52.85
10:10.67,9:52.87
10:20.98,9:52.90
10:21.05,9:52.92
10:21.57,9:52.94
10:31.57,9:52.96
10:07.37,9:52.99
10:39.50,9:53.03
11:07.68,9:53.03
10:27.30,9:53.03
10:46.10,9:53.05
10:48.44,9:53.09
9:57.64,9:53.13
9:55.83,9:53.14
10:02.06,9:53.23
10:58.98,9:53.30
9:54.05,9:45.84
10:21.62,9:53.33
10:25.91,9:53.36
9:53.97,9:53.36
10:38.15,9:53.37
11:04.87,9:53.41
10:18.06,9:53.43
10:25.11,9:53.43
10:45.82,9:53.44
10:03.39,9:53.44
11:07.81,9:53.48
10:24.48,9:53.48
10:36.36,9:53.50
9:59.69,9:52.1
10:15.34,9:53.50
10:12.10,9:53.55
10:06.40,9:53.59
10:12.7,9:53.67
10:53.67,9:53.70
10:42.84,9:53.76
11:26.77,9:53.77
9:54.09,9:53.80
11:31.9,9:53.83
10:08.56,9:53.83
11:09.05,9:51.2
10:42.93,9:53.89
11:05.67,9:53.90
10:36.86,9:53.98
11:21.23,9:53.98
10:05.35,9:53.99
9:50.58,9:54.01
10:23.89,9:54.05
9:30.52,9:54.08
10:33.34,9:54.10
9:59.0,9:54.25
10:18.68,9:54.26
9:59.77,9:54.27
9:50.27,9:54.28
10:09.39,9:54.33
10:41.46,9:54.44
10:53.29,9:54.45
10:19.50,9:54.51
10:09.08,9:54.52
9:48.49,9:54.60
11:44.91,9:54.60
10:25.20,9:54.65
10:36.06,9:54.65
10:45.37,9:54.66
10:11.36,9:54.68
10:09.29,9:54.69
10:09.00,9:54.76
10:15.27,9:54.80
10:47.56,9:54.82
10:04.46,9:54.82
10:23.89,9:54.86
10:02.45,9:54.88
10:02.90,9:54.91
9:53.15,9:54.91
10:27.44,9:54.93
10:06.39,9:54.94
10:22.28,9:54.95
11:10.15,9:54.97
10:10.74,9:54.98
11:19.46,9:54.99
11:49.34,9:55.01
10:19.65,9:55.01
10:57.73,9:55.02
9:55.62,9:55.02
10:08.79,9:55.07
10:31.51,9:55.08
10:29.95,9:55.12
10:06.68,9:55.12
10:38.82,9:55.12
9:53.43,9:55.13
10:34.17,9:55.15
10:03.90,9:55.19
10:31.72,9:55.22
10:11.29,9:55.22
10:02.25,9:55.22
10:47.39,9:55.24
10:37.27,9:55.25
10:07.0,9:55.27
10:34.09,9:55.28
9:58.17,9:55.30
10:05.14,9:55.36
10:20.10,9:55.38
10:36.64,9:55.38
10:45.47,9:55.39
10:35.68,9:55.41
10:42.3,9:55.41
10:27.63,9:55.50
10:27.19,9:55.51
10:33.60,9:55.52
10:08.48,9:55.55
10:02.59,9:55.59
10:28.53,9:55.60
10:36.05,9:55.62
